Probe;Nitrat+Nitrit_ug_l;Nitrat+Nitrit_umol_l;Silikat_ug_l;Silikat_umol_l;Phosphat__ug_l;Phosphat_umol_l;Tag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P1;7,64;0,12;58,33;2,08;13,40;0,14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440512;1024;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;0,0316259;0,002749878
P2;5,85;0,09;57,12;2,03;8,76;0,09;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440513;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;0,133547104;0,106472871
P3;103,71;1,67;67,57;2,41;11,15;0,12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440514;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;0,002155348;0,003440616
P4;6,42;0,10;65,45;2,33;10,24;0,11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440515;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;1. Order;1. Order
P5;69,02;1,11;59,75;2,13;9,55;0,10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440516;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;4,31;0,07;59,39;2,11;9,20;0,10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440517;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;53,21;0,86;70,82;2,52;12,69;0,13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440518;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;6,18;0,10;74,31;2,65;14,55;0,15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440519;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;7,42;0,12;61,15;2,18;13,33;0,14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440520;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;12,93;0,21;71,67;2,55;13,91;0,15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440521;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;10,85;0,17;73,64;2,62;16,13;0,17;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440522;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;10,61;0,17;64,79;2,31;14,15;0,15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440523;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;20,42;0,33;58,99;2,10;13,27;0,14;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440524;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;1,86;0,03;16,25;0,58;8,73;0,09;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440525;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;7,05;0,11;32,28;1,15;8,38;0,09;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440526;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;10,19;0,16;12,73;0,45;8,89;0,09;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440527;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;2,81;0,05;3,13;0,11;8,33;0,09;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440528;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;10,19;0,16;46,43;1,65;9,44;0,10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440529;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;4,68;0,08;22,56;0,80;11,98;0,13;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440530;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;2,20;0,04;43,19;1,54;9,22;0,10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440531;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;3,96;0,06;74,11;2,64;9,51;0,10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440532;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;6,49;0,10;20,19;0,72;8,55;0,09;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440533;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;2,53;0,04;30,60;1,09;9,41;0,10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440534;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;8,43;0,14;18,74;0,67;8,90;0,09;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440535;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;0,14;0,00;57,26;2,04;8,62;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440536;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;0,08;0,00;49,52;1,76;8,36;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440537;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;0,08;0,00;88,21;3,14;8,68;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440538;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;0,49;0,01;83,68;2,98;9,19;0,10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440539;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;2,80;0,05;68,01;2,42;9,34;0,10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440541;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P6;1,42;0,02;58,59;2,09;8,65;0,09;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117440542;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
