no;Sampling;Planktotron;date;POP_Raw;POP_con;POP_extrakVol;POP_FiltVol;POP_conc_sample;POP_conc_microgramm_P_L;POP_conc_micromolP_L;POP_conc_mg_l
2019-1501;0;1;27.08.19;0,6;624,66;10;250;6,2466;24,9864;0,806793671;0,0249864
2019-1501;0;1;27.08.19;0,6;625,84;10;250;6,2584;25,0336;0,808317727;0,0250336
2019-1501;0;1;27.08.19;0,6;627,02;10;250;6,2702;25,0808;0,809841782;0,0250808
2019-1502;0;2;27.08.19;0,58;606,93;10;250;6,0693;24,2772;0,783894091;0,0242772
2019-1502;0;2;27.08.19;0,58;605,75;10;250;6,0575;24,23;0,782370036;0,02423
2019-1502;0;2;27.08.19;0,58;605,75;10;250;6,0575;24,23;0,782370036;0,02423
2019-1503;0;3;27.08.19;0,63;656,57;10;250;6,5657;26,2628;0,848007749;0,0262628
2019-1503;0;3;27.08.19;0,62;653,03;10;250;6,5303;26,1212;0,843435583;0,0261212
2019-1503;0;3;27.08.19;0,62;650,66;10;250;6,5066;26,0264;0,840374556;0,0260264
2019-1504;0;4;27.08.19;0,61;636,48;10;250;6,3648;25,4592;0,822060058;0,0254592
2019-1504;0;4;27.08.19;0,61;632,93;10;250;6,3293;25,3172;0,817474976;0,0253172
2019-1504;0;4;27.08.19;0,61;632,93;10;250;6,3293;25,3172;0,817474976;0,0253172
2019-1505;0;5;27.08.19;0,6;628,21;10;250;6,2821;25,1284;0,811378754;0,0251284
2019-1505;0;5;27.08.19;0,6;625,84;10;250;6,2584;25,0336;0,808317727;0,0250336
2019-1505;0;5;27.08.19;0,59;619,93;10;250;6,1993;24,7972;0,800684533;0,0247972
2019-1506;0;6;27.08.19;0,57;590,38;10;250;5,9038;23,6152;0,762518566;0,0236152
2019-1506;0;6;27.08.19;0,57;586,84;10;250;5,8684;23,4736;0,7579464;0,0234736
2019-1506;0;6;27.08.19;0,57;586,84;10;250;5,8684;23,4736;0,7579464;0,0234736
2019-1507;0;7;27.08.19;0,56;580,93;10;250;5,8093;23,2372;0,750313206;0,0232372
2019-1507;0;7;27.08.19;0,56;580,93;10;250;5,8093;23,2372;0,750313206;0,0232372
2019-1507;0;7;27.08.19;0,57;586,84;10;250;5,8684;23,4736;0,7579464;0,0234736
2019-1508;0;8;27.08.19;0,57;595,11;10;250;5,9511;23,8044;0,768627704;0,0238044
2019-1508 ;0;8;27.08.19;0,58;599,84;10;250;5,9984;23,9936;0,774736842;0,0239936
2019-1508;0;8;27.08.19;0,57;595,11;10;250;5,9511;23,8044;0,768627704;0,0238044
2019-1509;0;9;27.08.19;0,59;618,75;10;250;6,1875;24,75;0,799160478;0,02475
2019-1509;0;9;27.08.19;0,59;617,57;10;250;6,1757;24,7028;0,797636422;0,0247028
2019-1509;0;9;27.08.19;0,59;617,57;10;250;6,1757;24,7028;0,797636422;0,0247028
2019-1510;0;10;27.08.19;0,61;640,03;10;250;6,4003;25,6012;0,82664514;0,0256012
2019-1510;0;10;27.08.19;0,61;642,39;10;250;6,4239;25,6956;0,829693252;0,0256956
2019-1510;0;10;27.08.19;0,61;640,03;10;250;6,4003;25,6012;0,82664514;0,0256012
2019-1511;0;11;27.08.19;0,61;643,57;10;250;6,4357;25,7428;0,831217307;0,0257428
2019-1511;0;11;27.08.19;0,61;637,66;10;250;6,3766;25,5064;0,823584114;0,0255064
2019-1511;0;11;27.08.19;0,61;637,66;10;250;6,3766;25,5064;0,823584114;0,0255064
2019-1512;0;12;27.08.19;0,58;603,38;10;250;6,0338;24,1352;0,779309009;0,0241352
2019-1512;0;12;27.08.19;0,59;611,66;10;250;6,1166;24,4664;0,790003229;0,0244664
2019-1512;0;12;27.08.19;0,57;596,29;10;250;5,9629;23,8516;0,77015176;0,0238516
2019-1549;2;1;31.08.19;0,599;708,4935;10;250;7,084935;28,33974;0,915070714;0,02833974
2019-1549;2;1;31.08.19;0,603;713,7955;10;250;7,137955;28,55182;0,921918631;0,02855182
2019-1549;2;1;31.08.19;0,606;717,772;10;250;7,17772;28,71088;0,927054569;0,02871088
2019-1550;2;2;31.08.19;0,391;432,7895;10;150;4,327895;28,85263333;0,931631687;0,028852633
2019-1550;2;2;31.08.19;0,389;430,1385;10;150;4,301385;28,6759;0,925925089;0,0286759
2019-1550;2;2;31.08.19;0,388;428,813;10;150;4,28813;28,58753333;0,92307179;0,028587533
2019-1551;2;3;31.08.19;0,346;373,142;10;100;3,73142;37,3142;1,204849855;0,0373142
2019-1551;2;3;31.08.19;0,344;370,491;10;100;3,70491;37,0491;1,196289958;0,0370491
2019-1551;2;3;31.08.19;0,344;370,491;10;100;3,70491;37,0491;1,196289958;0,0370491
2019-1552;2;4;31.08.19;0,314;330,726;10;100;3,30726;33,0726;1,067891508;0,0330726
2019-1552;2;4;31.08.19;0,313;329,4005;10;100;3,294005;32,94005;1,06361156;0,03294005
2019-1552;2;4;31.08.19;0,312;328,075;10;100;3,28075;32,8075;1,059331611;0,0328075
2019-1553;2;5;31.08.19;0,34;365,189;10;100;3,65189;36,5189;1,179170165;0,0365189
2019-1553;2;5;31.08.19;0,34;365,189;10;100;3,65189;36,5189;1,179170165;0,0365189
2019-1553;2;5;31.08.19;0,338;362,538;10;100;3,62538;36,2538;1,170610268;0,0362538
2019-1554;2;6;31.08.19;0,303;316,1455;10;100;3,161455;31,61455;1,020812076;0,03161455
2019-1554;2;6;31.08.19;0,31;325,424;10;100;3,25424;32,5424;1,050771715;0,0325424
2019-1554;2;6;31.08.19;0,3;312,169;10;100;3,12169;31,2169;1,007972231;0,0312169
2019-1555;2;7;31.08.19;0,277;281,6825;10;100;2,816825;28,16825;0,909533419;0,02816825
2019-1555;2;7;31.08.19;0,274;277,706;10;100;2,77706;27,7706;0,896693574;0,0277706
2019-1555;2;7;31.08.19;0,274;277,706;10;100;2,77706;27,7706;0,896693574;0,0277706
2019-1556;2;8;31.08.19;0,327;347,9575;10;100;3,479575;34,79575;1,123530836;0,03479575
2019-1556;2;8;31.08.19;0,332;354,585;10;100;3,54585;35,4585;1,144930578;0,0354585
2019-1556;2;8;31.08.19;0,329;350,6085;10;100;3,506085;35,06085;1,132090733;0,03506085
